"Site" "peak_colony" "Prop_imp100" "Prop_flow100" "Prop_domesticinfrastructure100" "Prop_open100" "Prop_tree100" "Prop_ag100" "Prop_gard100" "Prop_road100" "Prop_imp250" "Prop_flow250" "Prop_domesticinfrastructure250" "Prop_open250" "Prop_tree250" "Prop_ag250" "Prop_gard250" "Prop_road250" "Prop_imp500" "Prop_flow500" "Prop_domesticinfrastructure500" "Prop_open500" "Prop_tree500" "Prop_ag500" "Prop_gard500" "Prop_road500" "Prop_imp750" "Prop_flow750" "Prop_domesticinfrastructure750" "Prop_open750" "Prop_tree750" "Prop_ag750" "Prop_gard750" "Prop_road750"
"GR" 5 0.569238502 0.396330736 1 0.837228784 0 0 0.396330736 0.001089051 0.474439738 0.3880549 0.920035385 0.738138001 0.074496033 0 0.3880549 0.285532383 0.503112937 0.276170116 0.86977938 0.676170786 0.124370041 0 0.276170116 0.299897464 0.485934905 0.235725295 0.840766361 0.667465394 0.129201695 0.027142825 0.235725295 0.276936938
"HA" 68 0.129431162 0.129925804 0.235119538 0.506924979 0.422093982 0.267518549 0.111788953 0.002638087 0.039308798 0.035958317 0.074647144 0.621250495 0.357894737 0.483907136 0.030088379 0.01845403 0.011175708 0.011947356 0.019327479 0.671551573 0.321886119 0.621506561 0.00771978 0.004613401 0.010105437 0.015604436 0.020543568 0.662875601 0.330228666 0.624773928 0.011530017 0.003209704
"HE" 4 0.481762159 0.418471019 0.900233178 0.636575616 0.068704197 0 0.418471019 0.001998668 0.498667413 0.406692252 0.896964367 0.663748301 0.09662589 0 0.394539058 0.258401962 0.460930316 0.359762923 0.894548168 0.699353003 0.092705127 0 0.298201602 0.226948653 0.500254289 0.34471679 0.89684459 0.676413677 0.090838324 0 0.283746695 0.250361417
"HY" 134 0.248974466 0.124738384 0.373043114 0.752030138 0.143407283 0.483549602 0.121724571 0.001339473 0.232754349 0.162700379 0.383254543 0.831621379 0.061724096 0.55502136 0.13946512 0.118252066 0.196025191 0.250250267 0.402918164 0.838643904 0.064644219 0.528664361 0.140189701 0.093400652 0.17954838 0.261406942 0.362107064 0.821598899 0.084816785 0.53471225 0.116433168 0.079367583
"HL" 113 0.147784889 0.440861109 0.588729116 0.724794281 0.201147037 0.210123847 0.434710332 0.001911728 0.140144608 0.172062893 0.290975401 0.714405948 0.226220686 0.428722631 0.147783063 0.076027493 0.078950497 0.125690115 0.178128962 0.764248072 0.207255785 0.5990695 0.092567889 0.048734018 0.045899556 0.071042346 0.121854011 0.770982496 0.213388602 0.653258854 0.04998707 0.029205181
"LA" 282 0 0 0 0.817581131 0.182418869 0.817581131 0 0.0004182 0 6.69e-05 0 0.949267992 0.050732008 0.949267992 0 0 0.079688059 0.018347089 0.08352877 0.833548007 0.16336738 0.74180587 0.003840711 0.076603447 0.131017717 0.049270298 0.172285457 0.732284565 0.24008862 0.556110834 0.0362851 0.103390902
"LE" 4 0.302661216 0.273379494 0.694168683 0.543922583 0.305831317 0 0.273379494 0.001418203 0.342320218 0.239536063 0.72162458 0.550758102 0.264961828 0 0.238681864 0.149858523 0.262575574 0.171526953 0.648998358 0.530479667 0.346213648 0 0.145231359 0.13349994 0.253798518 0.129535162 0.618635648 0.546915363 0.327233066 0 0.09481539 0.121284156
"MA" 16 0.37196607 0.345595028 0.735197783 0.82808432 0.026203074 0.238599143 0.309313849 0.001511716 0.388290939 0.332150871 0.739777751 0.704505449 0.141855122 0.107214362 0.221510058 0.23465151 0.265546952 0.208555737 0.493286753 0.639429618 0.260111859 0.13745948 0.170106989 0.160822318 0.157339588 0.13095135 0.324973201 0.638547579 0.300654219 0.221270039 0.108628469 0.094413905
"MS" 11 0.039736191 0 0.039736191 0.381945589 0.618054411 0.315828524 0 0.000494641 0.044598926 0.004023269 0.048411139 0.301349444 0.681027319 0.167592238 0.003812212 0.026975689 0.032835378 0.043091281 0.069334521 0.374376731 0.608979686 0.209510619 0.039295607 0.015288221 0.028135036 0.03778762 0.079234187 0.452769508 0.534922055 0.298184458 0.032467113 0.013662028
"OC" 2 0.53889769 0.289001918 0.827899608 0.471024764 0.172100392 0 0.289001918 0.001000584 0.58446532 0.246203731 0.830669051 0.501427771 0.169330949 0 0.246203731 0.25522404 0.574255444 0.176254937 0.793258967 0.497341348 0.206741033 0 0.173302733 0.256865126 0.571299585 0.186871008 0.790894481 0.486764854 0.209105519 0 0.18183759 0.248840609
