"Alnusacuminata"	"Anonaceaesp."	"Arbutusxalapensis"	"Buddleiacordata"	"Buddleianitida"	"Calyptranthespallens"	"Clethramacrophylla"	"Clethraoleoides"	"Clethrasuaveolens"	"Cleyeratheaeoides"	"Clusiarosea"	"Cornusdisciflora"	"Cornusexcelsa"	"Cupaniadentata"	"Cupressuslusitanica"	"Cyatheafulva"	"Daphnopsisselerolum"	"Dendropanaxarboreus"	"Deppeagrandiflora"	"Drimysgranadensis"	"Erythrinachiapasana"	"Eugeniacapuli"	"Eugeniacapulioides"	"Eupatoriumligustrinum"	"Eupatoriumnubigenum"	"Garryalaurifolia"	"Holodiscusargenteus"	"Ingasp."	"Juniperusgamboana"	"Lippiasubstrigosa"	"Liquidambarstyraciflua"	"Litseaglaucescens"	"Magnoliasharpii"	"Meliosmadives"	"Miconiaglaberrima"	"Microtropiscontracta"	"Myricacerifera"	"Myrtaceaesp1."	"Nyssasilvatica"	"Ocoteaeffusa"	"Ocoteahelicterifolia"	"Olmediellabetschleriana"	"Oreopanaxxalapensis"	"Ostryavirginiana"	"Parathesisbelizensis"	"Perseaamericana"	"Pinusayacahuite"	"Pinusmontezumae"	"Pinusoocarpa"	"Pinuspseudostrobus"	"Pinustecunumani"	"Prunuslundelliana"	"Prunusrhamnoides"	"Prunusserotina"	"Quercusacatenangensis"	"Quercuscandicans"	"Quercuscrassifolia"	"Quercuscrispipilis"	"Quercuslaurina"	"Quercuspeduncularis"	"Quercuspolymorpha"	"Quercusrugosa"	"Quercussapotaefolia"	"Quercussegoviensis"	"Quercusskutchii"	"Rapaneajuergensenii"	"Rapaneamyricoides"	"Rhamnussharpii"	"Rondeletiastenosiphon"	"Saurauialatipetala"	"Saurauiascabrida"	"Sebastianiacruenta"	"Solanumnudum"	"Styraxargenteus"	"Symplococarponpurpusii"	"Symplocoslimoncillo"	"Tecomastans"	"Ternstroemialineata"	"Ternstroemiaoocarpa"	"Verbesinaperymenioides"	"Vernonialeiocarpa"	"Vernoniascorpioides"	"Viburnumaff.lautum"	"Viburnumjucundum"	"Weinmanniapinnata"	"Zanthoxylummelanostictum"
"Bazom12"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	1	0	0	12	0	60	0	0	2	0	0	0	40	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
"Bazom13"	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	10	0	0	7	0	0	0	2	4	0	1	1	0	0	3	0	15	0	0	0	0	0	0	39	0	13	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0
"Bazom14"	0	0	0	0	0	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0	0	2	0	0	5	0	20	0	0	0	0	0	0	33	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"Bazom15"	0	0	0	2	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	1	0	0	0	0	0	2	0	7	0	0	3	0	0	0	23	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0
"Bazom16"	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	2	3	0	0	3	0	0	8	0	21	0	0	1	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	26	0	4	0	0	0	1	0	0
"Bazom17"	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	21	0	0	2	0	0	30	0	18	0	0	5	0	0	0	31	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
"Bazom18"	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	4	1	0	0	4	0	0	1	0	18	0	0	1	0	0	0	36	0	23	0	0	0	0	0	0	0	4	0	19	0	4	0	0	0	2	0	0
"Bazom19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	2	0	0	7	0	0	1	0	26	0	0	3	0	0	0	54	0	15	0	0	0	0	0	0	0	14	0	18	0	6	0	0	0	2	0	2
"Bazom20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	15	0	0	4	0	0	3	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bazom21"	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	41	0	0	6	0	0	15	0	23	0	0	0	0	0	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
