"Alnusacuminata"	"Anonaceaesp."	"Arbutusxalapensis"	"Buddleiacordata"	"Buddleianitida"	"Calyptranthespallens"	"Clethramacrophylla"	"Clethraoleoides"	"Clethrasuaveolens"	"Cleyeratheaeoides"	"Clusiarosea"	"Cornusdisciflora"	"Cornusexcelsa"	"Cupaniadentata"	"Cupressuslusitanica"	"Cyatheafulva"	"Daphnopsisselerolum"	"Dendropanaxarboreus"	"Deppeagrandiflora"	"Drimysgranadensis"	"Erythrinachiapasana"	"Eugeniacapuli"	"Eugeniacapulioides"	"Eupatoriumligustrinum"	"Eupatoriumnubigenum"	"Garryalaurifolia"	"Holodiscusargenteus"	"Ingasp."	"Juniperusgamboana"	"Lippiasubstrigosa"	"Liquidambarstyraciflua"	"Litseaglaucescens"	"Magnoliasharpii"	"Meliosmadives"	"Miconiaglaberrima"	"Microtropiscontracta"	"Myricacerifera"	"Myrtaceaesp1."	"Nyssasilvatica"	"Ocoteaeffusa"	"Ocoteahelicterifolia"	"Olmediellabetschleriana"	"Oreopanaxxalapensis"	"Ostryavirginiana"	"Parathesisbelizensis"	"Perseaamericana"	"Pinusayacahuite"	"Pinusmontezumae"	"Pinusoocarpa"	"Pinuspseudostrobus"	"Pinustecunumani"	"Prunuslundelliana"	"Prunusrhamnoides"	"Prunusserotina"	"Quercusacatenangensis"	"Quercuscandicans"	"Quercuscrassifolia"	"Quercuscrispipilis"	"Quercuslaurina"	"Quercuspeduncularis"	"Quercuspolymorpha"	"Quercusrugosa"	"Quercussapotaefolia"	"Quercussegoviensis"	"Quercusskutchii"	"Rapaneajuergensenii"	"Rapaneamyricoides"	"Rhamnussharpii"	"Rondeletiastenosiphon"	"Saurauialatipetala"	"Saurauiascabrida"	"Sebastianiacruenta"	"Solanumnudum"	"Styraxargenteus"	"Symplococarponpurpusii"	"Symplocoslimoncillo"	"Tecomastans"	"Ternstroemialineata"	"Ternstroemiaoocarpa"	"Verbesinaperymenioides"	"Vernonialeiocarpa"	"Vernoniascorpioides"	"Viburnumaff.lautum"	"Viburnumjucundum"	"Weinmanniapinnata"	"Zanthoxylummelanostictum"
"Huitep6"	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	11	4	25	0	0	20	0	0	0	22	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	19	0	0
"Huitep7"	1	0	0	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	64	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0
"Huitep8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	4	0	0	30	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	0
"Huitep9"	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	2	0	2	18	0	12	0	0	42	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
"Huitep10"	8	0	5	0	15	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	3	0	0	0	0	13	0	0	8	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	5	0	0	1	1	0	0	0	0	0	0	1	2	0	3	0	13	0	0	0	0	0	5	0	0
"Huitep11"	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	11	0	0	0	52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Huitep12"	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	39	1	4	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0
"Huitep13"	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	3	2	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"Huitep14"	0	0	7	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	7	53	0	65	0	0	35	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0
"Huitep15"	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	3	22	0	17	0	0	18	0	0	1	14	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0
"Huitep16"	0	0	0	1	0	0	25	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	2	0	0	2	0	7	0	0	2	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	2	0	3	0	0	0	13	0	0
"Huitep17"	0	0	0	15	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	27	0	0	0	0	0	0	4	0	0	17	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	3
"Huitep18"	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	5	0	5	4	0	0	0	0	3	0	0	0	0	0	0	2	0	1	1	19	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	6	9	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	4	1	0	0	0	3	0	0	0	0	0	1	0	0
"TzontA1"	0	0	0	2	0	2	6	0	0	1	0	0	0	0	0	8	0	0	1	3	0	0	0	0	18	0	0	0	0	0	0	0	0	7	33	4	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	3	3
"TzontA2"	0	0	0	1	0	0	0	9	0	13	0	0	0	0	0	3	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	1	0	0	27	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	5	0	0
"TzontA3"	0	0	0	3	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	5	1	0	0	0	0	0	0	0	3	16	8	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
"TzontA4"	0	0	0	10	8	0	0	14	0	3	0	0	0	0	0	0	0	0	2	4	0	0	0	0	9	1	1	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	2	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	1	18	0	0
"TzontA5"	0	0	0	30	2	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	16	5	0	0	0	0	0	0	2	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	0	0	1	0	0	0	0	0	0	0	10	0	0
"TzontA6"	0	0	0	7	0	0	1	5	0	3	0	3	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	2	23	5	0	0	0	0	0	0	3	0	0	32	0	0	0	0	0	8	9	0	9	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	5	0	0	0	0	0	0	5	0	1	7
"TzontA7"	0	0	0	2	0	0	0	15	0	9	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	12	0	0	18	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0
"TzontA8"	0	0	0	9	1	0	0	12	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	4	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	10	0	1
"TzontA9"	0	0	0	8	1	0	0	5	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	4	48	1	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	5	2	0
"TzontA10"	0	0	0	4	0	0	0	44	0	3	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	7	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	9	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	2	0	1
"Chilil1"	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	2	0	0	45	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chilil2"	12	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	43	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chilil3"	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	17	0	0	0	0	0	14	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chilil4"	7	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23	0	0	1	0	0	44	9	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chilil5"	7	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	30	0	0	1	0	0	32	32	0	0	0	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chilil6"	0	0	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	33	0	0	0	0	0	13	18	0	0	0	23	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"Chilil7"	3	0	0	0	0	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	9	9	1	0	0	14	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
"Chilil8"	3	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	27	0	0	1	0	0	10	3	1	0	0	16	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
"Chilil9"	0	0	4	5	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	1	0	0	0	7	0	0	4	41	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
"Chilil10"	2	0	0	5	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	15	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
"SAnton1"	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	1	0	0	1	9	0	0	0	0	0	0	0	27	8	0	10	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0
"SAnton2"	1	0	0	1	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	27	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	1	0	0
"SAnton3"	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1	0	0	0	0	0	3	4	1	5	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SAnton4"	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	13	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
"SAnton5"	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	9	0	30	11	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SAnton6"	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	1	2	0	2	6	0	0	0	0	0	4	0	35	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"SAnton7"	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	1	31	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SAnton8"	0	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	31	0	0	37	17	0	0	0	0	0	2	0	8	2	0	14	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
"SAnton9"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	9	3	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SAnton10"	4	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	4	1	35	0	0	9	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
"Santia1"	0	0	0	1	0	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	0	0	0	0	1	0	0	0	0	0	1	0	19	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	7	0	0
"Santia2"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	11	0	0	0	0	0	35	2	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia3"	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	9	0	0	0	0	0	12	1	0	3	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia4"	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	10	0	0	0	0	0	7	19	0	9	0	32	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia5"	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	27	0	0	0	0	0	48	14	0	0	0	21	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia6"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	18	32	0	5	0	54	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia7"	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	14	0	0	0	0	0	65	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia8"	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	15	22	0	0	0	0	0	3	14	0	3	0	25	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia9"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	22	0	0	0	75	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Santia10"	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	26	0	0	0	0	0	37	3	0	0	0	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk1"	12	0	0	11	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	1	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Yalcuk2"	0	0	0	0	0	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	6	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk3"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	2	3	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk4"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	20	0	0	0	0	0	10	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk5"	1	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	7	11	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk6"	5	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	7	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
"Yalcuk7"	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	12	10	0	0	0	0	0	0	14	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk8"	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk9"	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	19	0	0	0	0	0	3	17	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Yalcuk10"	0	0	0	4	0	6	0	0	0	4	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	1	11	0	5	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"TzontB1"	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	1	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	6
"TzontB2"	0	0	0	0	0	15	4	0	0	4	0	0	0	0	0	13	0	0	0	6	0	0	0	0	9	0	0	0	0	0	0	0	0	1	7	2	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	2
"TzontB3"	0	0	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	10	0	9	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0
"TzontB4"	0	0	0	0	0	3	3	0	0	9	0	4	0	0	0	2	0	0	3	4	0	0	0	0	3	0	0	0	0	0	0	0	1	0	11	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	8	8	0	8	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	13	3
"TzontB5"	0	0	0	0	0	3	3	0	0	2	0	0	0	0	0	14	0	0	4	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	2	1
"TzontB6"	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	19	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	42	2
"TzontB7"	0	0	0	0	0	0	0	4	0	17	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	17	0	0	15	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3
"TzontB8"	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	23	0	0	7	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1
